x,y,reach_id_R,reach_len,n_nodes,width,width_var,max_width,rch_id_up,rch_id_dn,n_rch_up,n_rch_down,fdir_set,conn_reach,rg_us_nd,rg_ds_nd,rg_inlet,rg_outlet,rg_flux,rg_outflx,wse,wse_var,facc,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,dist_out,lakeflag,swot_orbit,swot_obs,type,river_name,edit_flag,trib_flag,path_freq,path_order,path_segs,main_side,strm_order,end_reach,network,mask_date
106.563176592904810,9.646894317130647,41,9679.328961352892293,44,61.200467976296515,743.759672021937263,335.587217122578693,"62","1399",1,1,1,"62, 1400, 42, 1399",62,57,0,0,0.002933161395393,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
106.538978121355981,9.630716419367836,42,3741.989656021285555,17,59.553651610405907,36.574307721427317,118.647998453448821,"51","1399",1,1,1,"51, 52, 41, 1399",63,57,0,0,0.003927646188895,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
106.490678149376919,9.631686582315439,51,11995.434622524728184,54,143.217445599192473,678.521735080617759,237.295996906897642,"66",42 52,1,2,1,"66, 77, 42, 52",71,63,0,0,0.014232986393866,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
106.531876199205783,9.657888439712776,52,5901.353265494001789,27,156.256600207239643,658.444341339922289,237.295996906897642,"51","62",1,1,1,"42, 51, 62, 81",63,72,0,0,0.010305340204972,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
106.549309459299678,9.687455153322025,62,2993.242457719712547,14,216.536645328008859,815.785311957717454,335.587217122578693,52 81,41 1400,2,2,1,"52, 81, 41, 1400",72,62,0,0,0.016511994487580,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
106.357607319685329,9.624164139363829,66,19727.911300236683019,90,144.178073678091891,84468.224468186774175,2346.862208110012489,"78",51 77,1,2,1,"78, 1403, 51, 77",82,71,0,0,0.020439640676474,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
106.440766860478902,9.652433076744920,77,6147.592805854994367,29,62.453595294346982,318.924271236866048,213.895721077540941,"66",88 89,1,2,1,"51, 66, 88, 89",71,90,0,0,0.006206654282608,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
106.262993876760305,9.607916301099696,78,3632.646878943430238,17,2482.616411099695142,2948.369054780928309,2517.603171379193554,91 116,66 1403,2,2,1,"91, 116, 66, 1403",91,82,0,0,0.364609989486880,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
106.505768956212762,9.682622289039847,81,10171.296552253090340,47,66.183578648180344,310.045119923712377,237.295996906897642,88 89,"62",2,1,1,"88, 89, 52, 62",94,72,0,0,0.006206654282608,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
106.464957643160247,9.661005501083684,88,1864.851626747162527,8,63.104430773481376,95.310032005068479,83.896804280644673,"77","81",1,1,1,"77, 89, 81",90,94,0,0,0.003185255657423,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
106.463683560971290,9.665033959582406,89,1620.358421872747840,7,59.858190640940073,34.705347461091101,83.896804280644673,"77","81",1,1,1,"77, 88, 81",90,94,0,0,0.003021398625186,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
106.180806243156923,9.648067708418091,91,21467.191640705066675,96,140.115955301714308,122104.744068824351416,2326.529631872370828,"118","78",1,1,1,"118, 116, 78",102,91,0,0,0.027125606671802,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 1993 Landsat 5, manually cleaned in 2025"
