x,y,reach_id_R,reach_len,n_nodes,width,width_var,max_width,rch_id_up,rch_id_dn,n_rch_up,n_rch_down,fdir_set,conn_reach,rg_us_nd,rg_ds_nd,rg_inlet,rg_outlet,rg_flux,rg_outflx,wse,wse_var,facc,n_chan_max,n_chan_mod,obstr_type,grod_id,hfalls_id,dist_out,lakeflag,swot_orbit,swot_obs,type,river_name,edit_flag,trib_flag,path_freq,path_order,path_segs,main_side,strm_order,end_reach,network,mask_date
-115.788126778878677,60.834858699595337,24,3389.537652540352155,16,78.320632694504212,657.712318355704497,221.435972853065834,"27",28 30,1,2,1,"27, 32, 28, 30",23,19,0,0,0.268729859136867,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 5, manually cleaned in 2025"
-115.772900480946930,60.814001579623522,27,2437.998837226855358,11,171.628766838705701,376.400488160984366,221.435972853065834,,24 32,0,2,1,"24, 32",25,23,1,0,1.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 5, manually cleaned in 2025"
-115.803648336727633,60.850612746771397,28,858.507313138320228,4,60.744525724741663,286.087059719847900,120.090517421337722,"24",,1,0,1,"24, 30",19,26,0,1,0.105475974457809,0.105475974457809,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 5, manually cleaned in 2025"
-115.793916306713882,60.853605067791705,30,1653.535048241731829,7,94.019323817841311,461.007118614550166,136.924256751249146,"24",,1,0,1,"24, 28",19,28,0,1,0.163253884679058,0.163253884679058,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 5, manually cleaned in 2025"
-115.748621565384937,60.839077672464377,32,6036.963201893920996,28,213.126819204075929,2510.960631798378472,341.783604395602026,"27",,1,0,1,"24, 27",23,30,0,1,0.731270140863133,0.731270140863133,,,,,,,,,,,,,,,,,,,,,,,,"Composite of 2007 Landsat 5, manually cleaned in 2025"
